Product_name,Product_url,brand,Sale_price,MRP,Discount_percentage,Number_of_ratings,Number_of_reviews,Type_of_washing,UPC,Star_rating
SAMSUNG 6.5 kg Monsoon drying feature Fully Automatic Top Load Silver,https://www.flipkart.com/samsung-6-5-kg-monsoon-drying-feature-fully-automatic-top-load-silver/p/itme1ba4fde1563a?pid=WMNFV6ZYDFQFJGT5,SAMSUNG,14690,16800,12,72128,7221,Fully Automatic Top Load,WMNFV6ZYDFQFJGT5,4.4
"Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Grey",https://www.flipkart.com/whirlpool-7-kg-5-star-turbo-scrub-technology-semi-automatic-top-load-grey/p/itmc2358c606b038?pid=WMNFH8WMMYH8WVAQ,Whirlpool,9480,11250,15,35423,3814,Semi Automatic Top Load,WMNFH8WMMYH8WVAQ,4.4
"LG 7 kg 4 Star Semi Automatic Top Load Grey, White",https://www.flipkart.com/lg-7-kg-4-star-semi-automatic-top-load-grey-white/p/itm32d84fc4a61c9?pid=WMNFKRJRJCJGJJ2A,LG,10890,13490,19,12536,1206,Semi Automatic Top Load,WMNFKRJRJCJGJJ2A,4.4
Godrej 6 kg Fully Automatic Top Load Grey,https://www.flipkart.com/godrej-6-kg-fully-automatic-top-load-grey/p/itm51ccd2b525f6c?pid=WMNFU2TCQZYW7WRF,Godrej,12990,16500,21,7535,868,Fully Automatic Top Load,WMNFU2TCQZYW7WRF,4.2
LG 6.5 kg 5 Star Inverter Fully Automatic Top Load Silver,https://www.flipkart.com/lg-6-5-kg-5-star-inverter-fully-automatic-top-load-silver/p/itme4cacbedc1c8f?pid=WMNFZX5BMUYJMPRB,LG,16490,18490,10,14012,1306,Fully Automatic Top Load,WMNFZX5BMUYJMPRB,4.3
IFB 6 kg 5 Star Fully Automatic Front Load with In-built Heater White,https://www.flipkart.com/ifb-6-kg-5-star-fully-automatic-front-load-in-built-heater-white/p/itmehpcrfmzed87b?pid=WMNEHPCR5BJHXPRT,IFB,22290,25690,13,47626,5666,Fully Automatic Front Load,WMNEHPCR5BJHXPRT,4.3
ONIDA 6.2 kg Fully Automatic Top Load Grey,https://www.flipkart.com/onida-6-2-kg-fully-automatic-top-load-grey/p/itmfd4jcbym9btxx?pid=WMNFD4JCWJEYZF7U,ONIDA,11990,19990,40,33822,4036,Fully Automatic Top Load,WMNFD4JCWJEYZF7U,4.2
"MarQ By Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon",https://www.flipkart.com/marq-flipkart-6-kg-5-star-rating-semi-automatic-top-load-white-maroon/p/itm125a12d8f3fef?pid=WMNFMKPKZYYJAQWD,MarQ,7390,10010,26,40983,5029,Semi Automatic Top Load,WMNFMKPKZYYJAQWD,4.3
"Whirlpool 7 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey",https://www.flipkart.com/whirlpool-7-kg-5-star-hard-water-wash-fully-automatic-top-load-grey/p/itmf6m22uc3dsgmr?pid=WMNF6M22GFW4UXCF,Whirlpool,16490,19270,14,9931,1042,Fully Automatic Top Load,WMNF6M22GFW4UXCF,4.3
SAMSUNG 6 kg 5 star Inverter Fully Automatic Front Load with In-built Heater White,https://www.flipkart.com/samsung-6-kg-5-star-inverter-fully-automatic-front-load-in-built-heater-white/p/itm2ee8237807ed7?pid=WMNFP6FWBB4AMHYJ,SAMSUNG,22490,26500,15,5703,706,Fully Automatic Front Load,WMNFP6FWBB4AMHYJ,4.4
"Whirlpool 7.5 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey",https://www.flipkart.com/whirlpool-7-5-kg-5-star-hard-water-wash-fully-automatic-top-load-grey/p/itmb49b34c9eb10d?pid=WMNFNAYP4RHJX5GN,Whirlpool,16490,18000,8,6223,602,Fully Automatic Top Load,WMNFNAYP4RHJX5GN,4.3
Whirlpool 6 kg Fully Automatic Top Load Grey,https://www.flipkart.com/whirlpool-6-kg-fully-automatic-top-load-grey/p/itmcb6f9bac28d1a?pid=WMNFYGG2RXGZGGFG,Whirlpool,13740,16800,18,1598,140,Fully Automatic Top Load,WMNFYGG2RXGZGGFG,4.3
ONIDA 6.5 kg Washer only Red,https://www.flipkart.com/onida-6-5-kg-washer-only-red/p/itmfb5qhnphbykhc?pid=WMNE8XYHGGA75VWK,ONIDA,4990,5400,7,13326,1815,Washer only,WMNE8XYHGGA75VWK,4.3
Panasonic 6 kg 5 Star AquaBeat Wash Fully Automatic Top Load Grey,https://www.flipkart.com/panasonic-6-kg-5-star-aquabeat-wash-fully-automatic-top-load-grey/p/itm909929dc404cc?pid=WMNFSNKN2K2ZAAYH,Panasonic,13490,16700,19,5769,922,Fully Automatic Top Load,WMNFSNKN2K2ZAAYH,4.4
"SAMSUNG 8.5 kg 5 star Semi Automatic Top Load White, Grey",https://www.flipkart.com/samsung-8-5-kg-5-star-semi-automatic-top-load-white-grey/p/itm47ebcbfab82bf?pid=WMNFNER9RSEMNQBM,SAMSUNG,12890,15990,19,15787,1666,Semi Automatic Top Load,WMNFNER9RSEMNQBM,4.4
IFB 8 kg 5 Star Fully Automatic Front Load with In-built Heater Silver,https://www.flipkart.com/ifb-8-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itmfb29mz7fw8mzf?pid=WMNFB29MBFKQKUG6,IFB,35490,40990,13,15096,1755,Fully Automatic Front Load,WMNFB29MBFKQKUG6,4.4
"LG 8 kg 5 star Semi Automatic Top Load Purple, White",https://www.flipkart.com/lg-8-kg-5-star-semi-automatic-top-load-purple-white/p/itmdd18d95631f5c?pid=WMNFJKR8W6JJ5TAE,LG,13790,16490,16,8944,1011,Semi Automatic Top Load,WMNFJKR8W6JJ5TAE,4.5
"Whirlpool 7.5 kg 5 Star, Ace Wash Station Semi Automatic Top Load Grey",https://www.flipkart.com/whirlpool-7-5-kg-5-star-ace-wash-station-semi-automatic-top-load-grey/p/itmb3935cfa82d51?pid=WMNFZZC7AVUECXTT,Whirlpool,10740,12050,10,14629,1516,Semi Automatic Top Load,WMNFZZC7AVUECXTT,4.4
"LG 6 kg With Collar Scrubber Semi Automatic Top Load Black, White",https://www.flipkart.com/lg-6-kg-collar-scrubber-semi-automatic-top-load-black-white/p/itm7b7fe9671dda7?pid=WMNFM3RFZEHRPQGK,LG,8999,11290,20,1852,145,Semi Automatic Top Load,WMNFM3RFZEHRPQGK,4.2
"Panasonic 6.5 kg 5 star Semi Automatic Top Load White, Blue",https://www.flipkart.com/panasonic-6-5-kg-5-star-semi-automatic-top-load-white-blue/p/itm58d9c33df776c?pid=WMNFRZ46ERAXSUVD,Panasonic,8690,11000,21,10300,1598,Semi Automatic Top Load,WMNFRZ46ERAXSUVD,4.2
"IFB 7 kg Fully Automatic Front Load with In-built Heater Black, White",https://www.flipkart.com/ifb-7-kg-fully-automatic-front-load-in-built-heater-black-white/p/itm83b58c71b74e2?pid=WMNFVH9HWNQZ3FZN,IFB,28490,34290,16,15096,1755,Fully Automatic Front Load,WMNFVH9HWNQZ3FZN,4.4
SAMSUNG 7.2 kg Semi Automatic Top Load White,https://www.flipkart.com/samsung-7-2-kg-semi-automatic-top-load-white/p/itmfeed5dxkkzmf5?pid=WMNDY9RWCWFQMADQ,SAMSUNG,9690,13100,26,15787,1666,Semi Automatic Top Load,WMNDY9RWCWFQMADQ,4.4
"LG 6.5 kg 4 Star Semi Automatic Top Load White, Blue",https://www.flipkart.com/lg-6-5-kg-4-star-semi-automatic-top-load-white-blue/p/itm00588bc17e022?pid=WMNFMAFYAWKKAXGG,LG,9990,12090,17,1287,100,Semi Automatic Top Load,WMNFMAFYAWKKAXGG,4.4
Whirlpool 7.5 kg 5 Star Fully Automatic Top Load Grey,https://www.flipkart.com/whirlpool-7-5-kg-5-star-fully-automatic-top-load-grey/p/itm47dfb57a98f04?pid=WMNFNVCSB8V8VQTA,Whirlpool,22990,26800,14,423,39,Fully Automatic Top Load,WMNFNVCSB8V8VQTA,4.2
Godrej 6 kg Fully Automatic Top Load Grey,https://www.flipkart.com/godrej-6-kg-fully-automatic-top-load-grey/p/itm51ccd2b525f6c?pid=WMNFU2TCQZYW7WRF,Godrej,12990,16500,21,7535,868,Fully Automatic Top Load,WMNFU2TCQZYW7WRF,4.2
